"","index","Referendum","Strike and mass demonstrations","King’s speech","Puigdemont answer s the king","First organizations to move out","Demonstrations for dialogue","Demonstration against independence","First DOI","Referendum organizers imprisonment"
"206",2017-10-09 22:00:00,1,1,1,1,1,1,1,0,0
"207",2017-10-09 23:00:00,1,1,1,1,1,1,1,0,0
"208",2017-10-10 00:00:00,1,1,1,1,1,1,1,0,0
"209",2017-10-10 01:00:00,1,1,1,1,1,1,1,0,0
"210",2017-10-10 02:00:00,1,1,1,1,1,1,1,0,0
"211",2017-10-10 03:00:00,1,1,1,1,1,1,1,0,0
"212",2017-10-10 04:00:00,1,1,1,1,1,1,1,0,0
"213",2017-10-10 05:00:00,1,1,1,1,1,1,1,0,0
"214",2017-10-10 06:00:00,1,1,1,1,1,1,1,0,0
"215",2017-10-10 07:00:00,1,1,1,1,1,1,1,0,0
"216",2017-10-10 08:00:00,1,1,1,1,1,1,1,0,0
"217",2017-10-10 09:00:00,1,1,1,1,1,1,1,0,0
"218",2017-10-10 10:00:00,1,1,1,1,1,1,1,0,0
"219",2017-10-10 11:00:00,1,1,1,1,1,1,1,0,0
"220",2017-10-10 12:00:00,1,1,1,1,1,1,1,0,0
"221",2017-10-10 13:00:00,1,1,1,1,1,1,1,0,0
"222",2017-10-10 14:00:00,1,1,1,1,1,1,1,0,0
"223",2017-10-10 15:00:00,1,1,1,1,1,1,1,0,0
"224",2017-10-10 16:00:00,1,1,1,1,1,1,1,0,0
"225",2017-10-10 17:00:00,1,1,1,1,1,1,1,0,0
"226",2017-10-10 18:00:00,1,1,1,1,1,1,1,0,0
"227",2017-10-10 19:00:00,1,1,1,1,1,1,1,0,0
"228",2017-10-10 20:00:00,1,1,1,1,1,1,1,0,0
"229",2017-10-10 21:00:00,1,1,1,1,1,1,1,1,0
"230",2017-10-10 22:00:00,1,1,1,1,1,1,1,1,0
"231",2017-10-10 23:00:00,1,1,1,1,1,1,1,1,0
"232",2017-10-11 00:00:00,1,1,1,1,1,1,1,1,0
"233",2017-10-11 01:00:00,1,1,1,1,1,1,1,1,0
"234",2017-10-11 02:00:00,1,1,1,1,1,1,1,1,0
"235",2017-10-11 03:00:00,1,1,1,1,1,1,1,1,0
"236",2017-10-11 04:00:00,1,1,1,1,1,1,1,1,0
"237",2017-10-11 05:00:00,1,1,1,1,1,1,1,1,0
"238",2017-10-11 06:00:00,1,1,1,1,1,1,1,1,0
"239",2017-10-11 07:00:00,1,1,1,1,1,1,1,1,0
"240",2017-10-11 08:00:00,1,1,1,1,1,1,1,1,0
"241",2017-10-11 09:00:00,1,1,1,1,1,1,1,1,0
"242",2017-10-11 10:00:00,1,1,1,1,1,1,1,1,0
"243",2017-10-11 11:00:00,1,1,1,1,1,1,1,1,0
"244",2017-10-11 12:00:00,1,1,1,1,1,1,1,1,0
"245",2017-10-11 13:00:00,1,1,1,1,1,1,1,1,0
"246",2017-10-11 14:00:00,1,1,1,1,1,1,1,1,0
"247",2017-10-11 15:00:00,1,1,1,1,1,1,1,1,0
"248",2017-10-11 16:00:00,1,1,1,1,1,1,1,1,0
"249",2017-10-11 17:00:00,1,1,1,1,1,1,1,1,0
"250",2017-10-11 18:00:00,1,1,1,1,1,1,1,1,0
"251",2017-10-11 19:00:00,1,1,1,1,1,1,1,1,0
"252",2017-10-11 20:00:00,1,1,1,1,1,1,1,1,0
"253",2017-10-11 21:00:00,1,1,1,1,1,1,1,1,0
"254",2017-10-11 22:00:00,1,1,1,1,1,1,1,1,0
"255",2017-10-11 23:00:00,1,1,1,1,1,1,1,1,0
"256",2017-10-12 00:00:00,1,1,1,1,1,1,1,1,0
"257",2017-10-12 01:00:00,1,1,1,1,1,1,1,1,0
"258",2017-10-12 02:00:00,1,1,1,1,1,1,1,1,0
"259",2017-10-12 03:00:00,1,1,1,1,1,1,1,1,0
"260",2017-10-12 04:00:00,1,1,1,1,1,1,1,1,0
"261",2017-10-12 05:00:00,1,1,1,1,1,1,1,1,0
"262",2017-10-12 06:00:00,1,1,1,1,1,1,1,1,0
"263",2017-10-12 07:00:00,1,1,1,1,1,1,1,1,0
"264",2017-10-12 08:00:00,1,1,1,1,1,1,1,1,0
"265",2017-10-12 09:00:00,1,1,1,1,1,1,1,1,0
"266",2017-10-12 10:00:00,1,1,1,1,1,1,1,1,0
"267",2017-10-12 11:00:00,1,1,1,1,1,1,1,1,0
"268",2017-10-12 12:00:00,1,1,1,1,1,1,1,1,0
"269",2017-10-12 13:00:00,1,1,1,1,1,1,1,1,0
"270",2017-10-12 14:00:00,1,1,1,1,1,1,1,1,0
"271",2017-10-12 15:00:00,1,1,1,1,1,1,1,1,0
"272",2017-10-12 16:00:00,1,1,1,1,1,1,1,1,0
"273",2017-10-12 17:00:00,1,1,1,1,1,1,1,1,0
"274",2017-10-12 18:00:00,1,1,1,1,1,1,1,1,0
"275",2017-10-12 19:00:00,1,1,1,1,1,1,1,1,0
"276",2017-10-12 20:00:00,1,1,1,1,1,1,1,1,0
"277",2017-10-12 21:00:00,1,1,1,1,1,1,1,1,0
"278",2017-10-12 22:00:00,1,1,1,1,1,1,1,1,0
"279",2017-10-12 23:00:00,1,1,1,1,1,1,1,1,0
"280",2017-10-13 00:00:00,1,1,1,1,1,1,1,1,0
"281",2017-10-13 01:00:00,1,1,1,1,1,1,1,1,0
"282",2017-10-13 02:00:00,1,1,1,1,1,1,1,1,0
"283",2017-10-13 03:00:00,1,1,1,1,1,1,1,1,0
"284",2017-10-13 04:00:00,1,1,1,1,1,1,1,1,0
"285",2017-10-13 06:00:00,1,1,1,1,1,1,1,1,0
"286",2017-10-13 07:00:00,1,1,1,1,1,1,1,1,0
"287",2017-10-13 08:00:00,1,1,1,1,1,1,1,1,0
"288",2017-10-13 09:00:00,1,1,1,1,1,1,1,1,0
"289",2017-10-13 10:00:00,1,1,1,1,1,1,1,1,0
"290",2017-10-13 11:00:00,1,1,1,1,1,1,1,1,0
"291",2017-10-13 12:00:00,1,1,1,1,1,1,1,1,0
"292",2017-10-13 13:00:00,1,1,1,1,1,1,1,1,0
"293",2017-10-13 14:00:00,1,1,1,1,1,1,1,1,0
"294",2017-10-13 15:00:00,1,1,1,1,1,1,1,1,0
"295",2017-10-13 16:00:00,1,1,1,1,1,1,1,1,0
"296",2017-10-13 17:00:00,1,1,1,1,1,1,1,1,0
"297",2017-10-13 18:00:00,1,1,1,1,1,1,1,1,0
"298",2017-10-13 19:00:00,1,1,1,1,1,1,1,1,0
"299",2017-10-13 20:00:00,1,1,1,1,1,1,1,1,0
"300",2017-10-13 21:00:00,1,1,1,1,1,1,1,1,0
"301",2017-10-13 22:00:00,1,1,1,1,1,1,1,1,0
"302",2017-10-13 23:00:00,1,1,1,1,1,1,1,1,0
"303",2017-10-14 00:00:00,1,1,1,1,1,1,1,1,0
"304",2017-10-14 01:00:00,1,1,1,1,1,1,1,1,0
"305",2017-10-14 02:00:00,1,1,1,1,1,1,1,1,0
"306",2017-10-14 03:00:00,1,1,1,1,1,1,1,1,0
